epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,6912.73,1.14085,0.81154,0.86449,0.87948,0.83413,0.88463,0.60859,1.5691,1.32712,1.10566,0.000284,0.000284,0.000284
158,7078.62,1.12017,0.80934,0.84517,0.90765,0.84267,0.87978,0.60654,1.44219,1.07903,1.07634,0.000273,0.000273,0.000273
159,7194.37,1.17984,0.82204,0.85545,0.85538,0.84514,0.87866,0.63029,1.50573,1.27122,1.16772,0.000262,0.000262,0.000262
160,7318.07,1.17099,0.87878,0.86865,0.93233,0.85714,0.90117,0.61898,1.52917,1.28626,1.1393,0.000251,0.000251,0.000251
161,7441.12,1.10658,0.79729,0.85194,0.81747,0.91429,0.85776,0.58159,1.5054,1.27969,1.08669,0.00024,0.00024,0.00024
162,7518.2,1.10407,0.82604,0.83513,0.93788,0.88571,0.89393,0.6131,1.51861,1.24905,1.20019,0.000229,0.000229,0.000229
163,7590.06,1.13048,0.76854,0.84446,0.83514,0.91429,0.85453,0.56841,1.56192,1.19281,1.16067,0.000218,0.000218,0.000218
164,7761.71,1.17735,0.82416,0.85459,0.88165,0.8515,0.8717,0.59717,1.5504,1.19942,1.14871,0.000207,0.000207,0.000207
165,7923.03,1.13782,0.80486,0.84915,0.88214,0.85544,0.87991,0.57371,1.61238,1.30979,1.18092,0.000196,0.000196,0.000196
166,8039.07,1.11857,0.76677,0.83089,0.84863,0.85714,0.85967,0.56707,1.56972,1.25111,1.26715,0.000185,0.000185,0.000185
167,8172.91,1.04183,0.76832,0.83855,0.83633,0.87615,0.87793,0.59708,1.4321,1.12604,1.20598,0.000174,0.000174,0.000174
168,8367.84,1.1159,0.8091,0.86823,0.89108,0.82857,0.87452,0.5976,1.46359,1.25347,1.11724,0.000163,0.000163,0.000163
169,8562.2,1.0868,0.78905,0.84125,0.84284,0.85714,0.87549,0.59101,1.46181,1.17121,1.06153,0.000152,0.000152,0.000152
170,8742.42,1.05673,0.73972,0.85635,0.85917,0.82857,0.85992,0.58634,1.48237,1.2436,1.1241,0.000141,0.000141,0.000141
171,8935.27,1.42546,0.6911,0.67031,0.85155,0.88571,0.84537,0.57183,1.51631,1.25409,1.12797,0.00013,0.00013,0.00013
172,9086.04,1.33628,0.69349,0.70455,0.85442,0.82857,0.84027,0.5406,1.54532,1.16743,1.06723,0.000119,0.000119,0.000119
173,9249.04,1.31487,0.68943,0.69311,0.81281,0.88571,0.84624,0.57383,1.41499,1.14782,0.99886,0.000108,0.000108,0.000108
174,9459.78,1.29592,0.67269,0.70472,0.85126,0.88571,0.83266,0.56116,1.43911,1.18358,1.11422,9.7e-05,9.7e-05,9.7e-05
175,9590.86,1.25962,0.64437,0.70421,0.86108,0.88548,0.83616,0.56501,1.46507,1.25096,1.2576,8.6e-05,8.6e-05,8.6e-05
176,9721.44,1.35401,0.65709,0.68779,0.88831,0.90907,0.86212,0.56813,1.49129,1.24952,1.25908,7.5e-05,7.5e-05,7.5e-05
177,9800.65,1.25125,0.6429,0.68197,0.83749,0.88352,0.8369,0.58483,1.42707,1.22385,1.24999,6.4e-05,6.4e-05,6.4e-05
178,9881.9,1.31619,0.63825,0.68509,0.82866,0.88571,0.83365,0.57822,1.45717,1.27862,1.27291,5.3e-05,5.3e-05,5.3e-05
179,9987.76,1.40545,0.67882,0.6845,0.832,0.88571,0.82579,0.57737,1.47045,1.29672,1.32028,4.2e-05,4.2e-05,4.2e-05
180,10074.9,1.33514,0.67112,0.69202,0.83651,0.8773,0.82902,0.58307,1.48402,1.30185,1.31238,3.1e-05,3.1e-05,3.1e-05
